month,topic,age_group,share_of_messages
2025-10-01,Technical help,65+,0.015
2025-10-01,Writing,18-24,0.324
2025-10-01,Writing,25-34,0.368
2025-10-01,Writing,35-44,0.176
2025-10-01,Writing,45-54,0.083
2025-10-01,Writing,55-64,0.030
2025-10-01,Writing,65+,0.019
2025-11-01,Multimedia,18-24,0.273
2025-11-01,Multimedia,25-34,0.347
2025-11-01,Multimedia,35-44,0.201
2025-11-01,Multimedia,45-54,0.105
2025-11-01,Multimedia,55-64,0.045
2025-11-01,Multimedia,65+,0.029
2025-11-01,Other/Unknown,18-24,0.323
2025-11-01,Other/Unknown,25-34,0.342
2025-11-01,Other/Unknown,35-44,0.179
2025-11-01,Other/Unknown,45-54,0.087
2025-11-01,Other/Unknown,55-64,0.038
2025-11-01,Other/Unknown,65+,0.031
2025-11-01,Practical Guidance,18-24,0.374
2025-11-01,Practical Guidance,25-34,0.353
2025-11-01,Practical Guidance,35-44,0.153
2025-11-01,Practical Guidance,45-54,0.070
2025-11-01,Practical Guidance,55-64,0.029
2025-11-01,Practical Guidance,65+,0.020
2025-11-01,Seeking information,18-24,0.316
2025-11-01,Seeking information,25-34,0.353
2025-11-01,Seeking information,35-44,0.177
2025-11-01,Seeking information,45-54,0.087
2025-11-01,Seeking information,55-64,0.040
2025-11-01,Seeking information,65+,0.026
2025-11-01,Self-expression,18-24,0.329
2025-11-01,Self-expression,25-34,0.361
2025-11-01,Self-expression,35-44,0.174
2025-11-01,Self-expression,45-54,0.084
2025-11-01,Self-expression,55-64,0.028
2025-11-01,Self-expression,65+,0.024
2025-11-01,Technical help,18-24,0.366
2025-11-01,Technical help,25-34,0.366
2025-11-01,Technical help,35-44,0.153
2025-11-01,Technical help,45-54,0.072
2025-11-01,Technical help,55-64,0.027
2025-11-01,Technical help,65+,0.017
2025-11-01,Writing,18-24,0.331
2025-11-01,Writing,25-34,0.359
2025-11-01,Writing,35-44,0.175
2025-11-01,Writing,45-54,0.085
2025-11-01,Writing,55-64,0.032
2025-11-01,Writing,65+,0.018
2025-12-01,Multimedia,18-24,0.274
2025-12-01,Multimedia,25-34,0.344
2025-12-01,Multimedia,35-44,0.209
2025-12-01,Multimedia,45-54,0.105
2025-12-01,Multimedia,55-64,0.043
2025-12-01,Multimedia,65+,0.025
2025-12-01,Other/Unknown,18-24,0.319
2025-12-01,Other/Unknown,25-34,0.336
2025-12-01,Other/Unknown,35-44,0.178
2025-12-01,Other/Unknown,45-54,0.098
2025-12-01,Other/Unknown,55-64,0.037
2025-12-01,Other/Unknown,65+,0.033
2025-12-01,Practical Guidance,18-24,0.362
2025-12-01,Practical Guidance,25-34,0.363
2025-12-01,Practical Guidance,35-44,0.155
2025-12-01,Practical Guidance,45-54,0.071
2025-12-01,Practical Guidance,55-64,0.028
2025-12-01,Practical Guidance,65+,0.021
2025-12-01,Seeking information,18-24,0.309
2025-12-01,Seeking information,25-34,0.358
2025-12-01,Seeking information,35-44,0.179
2025-12-01,Seeking information,45-54,0.088
2025-12-01,Seeking information,55-64,0.039
2025-12-01,Seeking information,65+,0.027
2025-12-01,Self-expression,18-24,0.332
2025-12-01,Self-expression,25-34,0.356
2025-12-01,Self-expression,35-44,0.176
2025-12-01,Self-expression,45-54,0.080
2025-12-01,Self-expression,55-64,0.031
2025-12-01,Self-expression,65+,0.026
2025-12-01,Technical help,18-24,0.357
2025-12-01,Technical help,25-34,0.371
2025-12-01,Technical help,35-44,0.160
2025-12-01,Technical help,45-54,0.072
2025-12-01,Technical help,55-64,0.026
2025-12-01,Technical help,65+,0.014
2025-12-01,Writing,18-24,0.326
2025-12-01,Writing,25-34,0.364
2025-12-01,Writing,35-44,0.175
2025-12-01,Writing,45-54,0.084
2025-12-01,Writing,55-64,0.031
2025-12-01,Writing,65+,0.020
2026-01-01,Multimedia,18-24,0.268
2026-01-01,Multimedia,25-34,0.363
2026-01-01,Multimedia,35-44,0.210
2026-01-01,Multimedia,45-54,0.096
2026-01-01,Multimedia,55-64,0.036
2026-01-01,Multimedia,65+,0.026
2026-01-01,Other/Unknown,18-24,0.315
2026-01-01,Other/Unknown,25-34,0.350
2026-01-01,Other/Unknown,35-44,0.183
2026-01-01,Other/Unknown,45-54,0.088
2026-01-01,Other/Unknown,55-64,0.038
2026-01-01,Other/Unknown,65+,0.026
2026-01-01,Practical Guidance,18-24,0.340
2026-01-01,Practical Guidance,25-34,0.367
2026-01-01,Practical Guidance,35-44,0.167
2026-01-01,Practical Guidance,45-54,0.075
2026-01-01,Practical Guidance,55-64,0.031
2026-01-01,Practical Guidance,65+,0.021
2026-01-01,Seeking information,18-24,0.300
2026-01-01,Seeking information,25-34,0.362
2026-01-01,Seeking information,35-44,0.179
2026-01-01,Seeking information,45-54,0.090
2026-01-01,Seeking information,55-64,0.040
2026-01-01,Seeking information,65+,0.027
2026-01-01,Self-expression,18-24,0.319
2026-01-01,Self-expression,25-34,0.368
2026-01-01,Self-expression,35-44,0.169
2026-01-01,Self-expression,45-54,0.084
2026-01-01,Self-expression,55-64,0.035
2026-01-01,Self-expression,65+,0.025
2026-01-01,Technical help,18-24,0.327
2026-01-01,Technical help,25-34,0.382
2026-01-01,Technical help,35-44,0.164
2026-01-01,Technical help,45-54,0.079
2026-01-01,Technical help,55-64,0.030
2026-01-01,Technical help,65+,0.018
2026-01-01,Writing,18-24,0.302
2026-01-01,Writing,25-34,0.374
2026-01-01,Writing,35-44,0.185
2026-01-01,Writing,45-54,0.087
2026-01-01,Writing,55-64,0.032
2026-01-01,Writing,65+,0.020
2026-02-01,Multimedia,18-24,0.247
2026-02-01,Multimedia,25-34,0.357
2026-02-01,Multimedia,35-44,0.222
2026-02-01,Multimedia,45-54,0.110
2026-02-01,Multimedia,55-64,0.042
2026-02-01,Multimedia,65+,0.023
2026-02-01,Other/Unknown,18-24,0.303
2026-02-01,Other/Unknown,25-34,0.338
2026-02-01,Other/Unknown,35-44,0.189
2026-02-01,Other/Unknown,45-54,0.098
2026-02-01,Other/Unknown,55-64,0.041
2026-02-01,Other/Unknown,65+,0.032
2026-02-01,Practical Guidance,18-24,0.331
2026-02-01,Practical Guidance,25-34,0.360
2026-02-01,Practical Guidance,35-44,0.173
2026-02-01,Practical Guidance,45-54,0.080
2026-02-01,Practical Guidance,55-64,0.033
2026-02-01,Practical Guidance,65+,0.023
2026-02-01,Seeking information,18-24,0.302
2026-02-01,Seeking information,25-34,0.359
2026-02-01,Seeking information,35-44,0.177
2026-02-01,Seeking information,45-54,0.094
2026-02-01,Seeking information,55-64,0.042
2026-02-01,Seeking information,65+,0.027
2026-02-01,Self-expression,18-24,0.316
2026-02-01,Self-expression,25-34,0.348
2026-02-01,Self-expression,35-44,0.184
2026-02-01,Self-expression,45-54,0.091
2026-02-01,Self-expression,55-64,0.035
2026-02-01,Self-expression,65+,0.026
2026-02-01,Technical help,18-24,0.335
2026-02-01,Technical help,25-34,0.364
2026-02-01,Technical help,35-44,0.175
2026-02-01,Technical help,45-54,0.079
2026-02-01,Technical help,55-64,0.029
2026-02-01,Technical help,65+,0.018
2026-02-01,Writing,18-24,0.306
2026-02-01,Writing,25-34,0.364
2026-02-01,Writing,35-44,0.185
2026-02-01,Writing,45-54,0.091
2026-02-01,Writing,55-64,0.034
2026-02-01,Writing,65+,0.020
2026-03-01,Multimedia,18-24,0.255
2026-03-01,Multimedia,25-34,0.346
2026-03-01,Multimedia,35-44,0.223
2026-03-01,Multimedia,45-54,0.106
2026-03-01,Multimedia,55-64,0.043
2026-03-01,Multimedia,65+,0.028
2026-03-01,Other/Unknown,18-24,0.294
2026-03-01,Other/Unknown,25-34,0.325
2026-03-01,Other/Unknown,35-44,0.195
2026-03-01,Other/Unknown,45-54,0.109
2026-03-01,Other/Unknown,55-64,0.045
2026-03-01,Other/Unknown,65+,0.032
2026-03-01,Practical Guidance,18-24,0.330
2026-03-01,Practical Guidance,25-34,0.358
2026-03-01,Practical Guidance,35-44,0.173
2026-03-01,Practical Guidance,45-54,0.082
2026-03-01,Practical Guidance,55-64,0.034
2026-03-01,Practical Guidance,65+,0.023
2026-03-01,Seeking information,18-24,0.296
2026-03-01,Seeking information,25-34,0.347
2026-03-01,Seeking information,35-44,0.187
2026-03-01,Seeking information,45-54,0.097
2026-03-01,Seeking information,55-64,0.045
2026-03-01,Seeking information,65+,0.028
2026-03-01,Self-expression,18-24,0.301
2026-03-01,Self-expression,25-34,0.357
2026-03-01,Self-expression,35-44,0.184
2026-03-01,Self-expression,45-54,0.096
2026-03-01,Self-expression,55-64,0.037
2026-03-01,Self-expression,65+,0.026
2026-03-01,Technical help,18-24,0.337
2026-03-01,Technical help,25-34,0.362
2026-03-01,Technical help,35-44,0.174
2026-03-01,Technical help,45-54,0.080
2026-03-01,Technical help,55-64,0.029
2026-03-01,Technical help,65+,0.018
2026-03-01,Writing,18-24,0.305
2026-03-01,Writing,25-34,0.365
2026-03-01,Writing,35-44,0.187
2026-03-01,Writing,45-54,0.088
2026-03-01,Writing,55-64,0.033
2026-03-01,Writing,65+,0.021
2026-04-01,Multimedia,18-24,0.261
2026-04-01,Multimedia,25-34,0.353
2026-04-01,Multimedia,35-44,0.213
2026-04-01,Multimedia,45-54,0.104
2026-04-01,Multimedia,55-64,0.043
2026-04-01,Multimedia,65+,0.026
2026-04-01,Other/Unknown,18-24,0.307
2026-04-01,Other/Unknown,25-34,0.336
2026-04-01,Other/Unknown,35-44,0.188
2026-04-01,Other/Unknown,45-54,0.097
2026-04-01,Other/Unknown,55-64,0.041
2026-04-01,Other/Unknown,65+,0.032
2026-04-01,Practical Guidance,18-24,0.338
2026-04-01,Practical Guidance,25-34,0.360
2026-04-01,Practical Guidance,35-44,0.167
2026-04-01,Practical Guidance,45-54,0.079
2026-04-01,Practical Guidance,55-64,0.033
2026-04-01,Practical Guidance,65+,0.023
2026-04-01,Seeking information,18-24,0.290
2026-04-01,Seeking information,25-34,0.358
2026-04-01,Seeking information,35-44,0.188
2026-04-01,Seeking information,45-54,0.094
2026-04-01,Seeking information,55-64,0.042
2026-04-01,Seeking information,65+,0.027
2026-04-01,Self-expression,18-24,0.315
2026-04-01,Self-expression,25-34,0.355
2026-04-01,Self-expression,35-44,0.180
2026-04-01,Self-expression,45-54,0.088
2026-04-01,Self-expression,55-64,0.035
2026-04-01,Self-expression,65+,0.027
2026-04-01,Technical help,18-24,0.348
2026-04-01,Technical help,25-34,0.363
2026-04-01,Technical help,35-44,0.161
2026-04-01,Technical help,45-54,0.079
2026-04-01,Technical help,55-64,0.030
2026-04-01,Technical help,65+,0.019
2026-04-01,Writing,18-24,0.310
2026-04-01,Writing,25-34,0.364
2026-04-01,Writing,35-44,0.186
2026-04-01,Writing,45-54,0.089
2026-04-01,Writing,55-64,0.033
2026-04-01,Writing,65+,0.019
2026-05-01,Multimedia,18-24,0.275
2026-05-01,Multimedia,25-34,0.355
2026-05-01,Multimedia,35-44,0.205
2026-05-01,Multimedia,45-54,0.099
2026-05-01,Multimedia,55-64,0.038
2026-05-01,Multimedia,65+,0.028
2026-05-01,Other/Unknown,18-24,0.308
2026-05-01,Other/Unknown,25-34,0.348
2026-05-01,Other/Unknown,35-44,0.175
2026-05-01,Other/Unknown,45-54,0.093
2026-05-01,Other/Unknown,55-64,0.042
2026-05-01,Other/Unknown,65+,0.033
2026-05-01,Practical Guidance,18-24,0.339
2026-05-01,Practical Guidance,25-34,0.358
2026-05-01,Practical Guidance,35-44,0.169
2026-05-01,Practical Guidance,45-54,0.080
2026-05-01,Practical Guidance,55-64,0.032
2026-05-01,Practical Guidance,65+,0.022
2026-05-01,Seeking information,18-24,0.296
2026-05-01,Seeking information,25-34,0.352
2026-05-01,Seeking information,35-44,0.188
2026-05-01,Seeking information,45-54,0.095
2026-05-01,Seeking information,55-64,0.042
2026-05-01,Seeking information,65+,0.027
2026-05-01,Self-expression,18-24,0.325
2026-05-01,Self-expression,25-34,0.352
2026-05-01,Self-expression,35-44,0.173
2026-05-01,Self-expression,45-54,0.088
2026-05-01,Self-expression,55-64,0.034
2026-05-01,Self-expression,65+,0.027
2026-05-01,Technical help,18-24,0.348
2026-05-01,Technical help,25-34,0.355
2026-05-01,Technical help,35-44,0.170
2026-05-01,Technical help,45-54,0.079
2026-05-01,Technical help,55-64,0.030
2026-05-01,Technical help,65+,0.018
2026-05-01,Writing,18-24,0.315
2026-05-01,Writing,25-34,0.365
2026-05-01,Writing,35-44,0.182
2026-05-01,Writing,45-54,0.086
2026-05-01,Writing,55-64,0.032
2026-05-01,Writing,65+,0.020
2026-06-01,Multimedia,18-24,0.266
2026-06-01,Multimedia,25-34,0.358
2026-06-01,Multimedia,35-44,0.216
2026-06-01,Multimedia,45-54,0.097
2026-06-01,Multimedia,55-64,0.039
2026-06-01,Multimedia,65+,0.025
2026-06-01,Other/Unknown,18-24,0.303
2026-06-01,Other/Unknown,25-34,0.344
2026-06-01,Other/Unknown,35-44,0.190
2026-06-01,Other/Unknown,45-54,0.094
2026-06-01,Other/Unknown,55-64,0.040
2026-06-01,Other/Unknown,65+,0.029
2026-06-01,Practical Guidance,18-24,0.326
2026-06-01,Practical Guidance,25-34,0.362
2026-06-01,Practical Guidance,35-44,0.174
2026-06-01,Practical Guidance,45-54,0.081
2026-06-01,Practical Guidance,55-64,0.034
2026-06-01,Practical Guidance,65+,0.023
2026-06-01,Seeking information,18-24,0.289
2026-06-01,Seeking information,25-34,0.353
2026-06-01,Seeking information,35-44,0.189
2026-06-01,Seeking information,45-54,0.096
2026-06-01,Seeking information,55-64,0.043
2026-06-01,Seeking information,65+,0.029
2026-06-01,Self-expression,18-24,0.319
2026-06-01,Self-expression,25-34,0.348
2026-06-01,Self-expression,35-44,0.179
2026-06-01,Self-expression,45-54,0.088
2026-06-01,Self-expression,55-64,0.036
2026-06-01,Self-expression,65+,0.030
2026-06-01,Technical help,18-24,0.326
2026-06-01,Technical help,25-34,0.360
2026-06-01,Technical help,35-44,0.176
2026-06-01,Technical help,45-54,0.086
2026-06-01,Technical help,55-64,0.033
2026-06-01,Technical help,65+,0.018
2026-06-01,Writing,18-24,0.302
2026-06-01,Writing,25-34,0.369
2026-06-01,Writing,35-44,0.187
2026-06-01,Writing,45-54,0.089
2026-06-01,Writing,55-64,0.034
2026-06-01,Writing,65+,0.020
