month,country,work_related,topic,share_of_messages
2024-12-01,PH,1,Writing,0.513
2024-12-01,PK,0,Multimedia,0.041
2024-12-01,PK,0,Other/Unknown,0.059
2024-12-01,PK,0,Practical Guidance,0.310
2024-12-01,PK,0,Seeking information,0.200
2024-12-01,PK,0,Self-expression,0.079
2024-12-01,PK,0,Technical help,0.046
2024-12-01,PK,0,Writing,0.265
2024-12-01,PK,1,Multimedia,0.042
2024-12-01,PK,1,Other/Unknown,0.021
2024-12-01,PK,1,Practical Guidance,0.221
2024-12-01,PK,1,Seeking information,0.090
2024-12-01,PK,1,Self-expression,0.006
2024-12-01,PK,1,Technical help,0.228
2024-12-01,PK,1,Writing,0.392
2024-12-01,PL,0,Multimedia,0.051
2024-12-01,PL,0,Other/Unknown,0.042
2024-12-01,PL,0,Practical Guidance,0.300
2024-12-01,PL,0,Seeking information,0.244
2024-12-01,PL,0,Self-expression,0.094
2024-12-01,PL,0,Technical help,0.046
2024-12-01,PL,0,Writing,0.223
2024-12-01,PL,1,Multimedia,0.036
2024-12-01,PL,1,Other/Unknown,0.021
2024-12-01,PL,1,Practical Guidance,0.216
2024-12-01,PL,1,Seeking information,0.110
2024-12-01,PL,1,Self-expression,0.005
2024-12-01,PL,1,Technical help,0.238
2024-12-01,PL,1,Writing,0.375
2024-12-01,PR,0,Multimedia,0.001
2024-12-01,PR,0,Other/Unknown,0.062
2024-12-01,PR,0,Practical Guidance,0.337
2024-12-01,PR,0,Seeking information,0.298
2024-12-01,PR,0,Self-expression,0.085
2024-12-01,PR,0,Technical help,0.000
2024-12-01,PR,0,Writing,0.217
2024-12-01,PR,1,Multimedia,0.059
2024-12-01,PR,1,Other/Unknown,0.074
2024-12-01,PR,1,Practical Guidance,0.202
2024-12-01,PR,1,Seeking information,0.146
2024-12-01,PR,1,Self-expression,0.000
2024-12-01,PR,1,Technical help,0.123
2024-12-01,PR,1,Writing,0.396
2024-12-01,PS,0,Multimedia,0.061
2024-12-01,PS,0,Other/Unknown,0.041
2024-12-01,PS,0,Practical Guidance,0.397
2024-12-01,PS,0,Seeking information,0.200
2024-12-01,PS,0,Self-expression,0.119
2024-12-01,PS,0,Technical help,0.020
2024-12-01,PS,0,Writing,0.161
2024-12-01,PS,1,Multimedia,0.058
2024-12-01,PS,1,Other/Unknown,0.039
2024-12-01,PS,1,Practical Guidance,0.232
2024-12-01,PS,1,Seeking information,0.105
2024-12-01,PS,1,Self-expression,0.017
2024-12-01,PS,1,Technical help,0.204
2024-12-01,PS,1,Writing,0.345
2024-12-01,PT,0,Multimedia,0.045
2024-12-01,PT,0,Other/Unknown,0.054
2024-12-01,PT,0,Practical Guidance,0.272
2024-12-01,PT,0,Seeking information,0.276
2024-12-01,PT,0,Self-expression,0.071
2024-12-01,PT,0,Technical help,0.041
2024-12-01,PT,0,Writing,0.241
2024-12-01,PT,1,Multimedia,0.044
2024-12-01,PT,1,Other/Unknown,0.027
2024-12-01,PT,1,Practical Guidance,0.238
2024-12-01,PT,1,Seeking information,0.105
2024-12-01,PT,1,Self-expression,0.010
2024-12-01,PT,1,Technical help,0.188
2024-12-01,PT,1,Writing,0.389
2024-12-01,PY,0,Multimedia,0.035
2024-12-01,PY,0,Other/Unknown,0.064
2024-12-01,PY,0,Practical Guidance,0.345
2024-12-01,PY,0,Seeking information,0.281
2024-12-01,PY,0,Self-expression,0.123
2024-12-01,PY,0,Technical help,0.000
2024-12-01,PY,0,Writing,0.151
2024-12-01,QA,0,Multimedia,0.044
2024-12-01,QA,0,Other/Unknown,0.080
2024-12-01,QA,0,Practical Guidance,0.268
2024-12-01,QA,0,Seeking information,0.192
2024-12-01,QA,0,Self-expression,0.131
2024-12-01,QA,0,Technical help,0.034
2024-12-01,QA,0,Writing,0.250
2024-12-01,QA,1,Multimedia,0.042
2024-12-01,QA,1,Other/Unknown,0.036
2024-12-01,QA,1,Practical Guidance,0.179
2024-12-01,QA,1,Seeking information,0.105
2024-12-01,QA,1,Self-expression,0.026
2024-12-01,QA,1,Technical help,0.069
2024-12-01,QA,1,Writing,0.543
2024-12-01,RO,0,Multimedia,0.041
2024-12-01,RO,0,Other/Unknown,0.060
2024-12-01,RO,0,Practical Guidance,0.276
2024-12-01,RO,0,Seeking information,0.266
2024-12-01,RO,0,Self-expression,0.105
2024-12-01,RO,0,Technical help,0.039
2024-12-01,RO,0,Writing,0.213
2024-12-01,RO,1,Multimedia,0.038
2024-12-01,RO,1,Other/Unknown,0.033
2024-12-01,RO,1,Practical Guidance,0.232
2024-12-01,RO,1,Seeking information,0.116
2024-12-01,RO,1,Self-expression,0.006
2024-12-01,RO,1,Technical help,0.213
2024-12-01,RO,1,Writing,0.363
2024-12-01,RS,0,Multimedia,0.047
2024-12-01,RS,0,Other/Unknown,0.073
2024-12-01,RS,0,Practical Guidance,0.263
2024-12-01,RS,0,Seeking information,0.251
2024-12-01,RS,0,Self-expression,0.116
2024-12-01,RS,0,Technical help,0.046
2024-12-01,RS,0,Writing,0.206
2024-12-01,RS,1,Multimedia,0.021
2024-12-01,RS,1,Other/Unknown,0.036
2024-12-01,RS,1,Practical Guidance,0.179
2024-12-01,RS,1,Seeking information,0.099
2024-12-01,RS,1,Self-expression,0.008
2024-12-01,RS,1,Technical help,0.214
2024-12-01,RS,1,Writing,0.444
2024-12-01,SA,0,Multimedia,0.039
2024-12-01,SA,0,Other/Unknown,0.081
2024-12-01,SA,0,Practical Guidance,0.272
2024-12-01,SA,0,Seeking information,0.182
2024-12-01,SA,0,Self-expression,0.165
2024-12-01,SA,0,Technical help,0.042
2024-12-01,SA,0,Writing,0.221
2024-12-01,SA,1,Multimedia,0.049
2024-12-01,SA,1,Other/Unknown,0.040
2024-12-01,SA,1,Practical Guidance,0.211
2024-12-01,SA,1,Seeking information,0.134
2024-12-01,SA,1,Self-expression,0.019
2024-12-01,SA,1,Technical help,0.095
2024-12-01,SA,1,Writing,0.452
2024-12-01,SC,0,Multimedia,0.144
2024-12-01,SC,0,Other/Unknown,0.145
2024-12-01,SC,0,Practical Guidance,0.155
2024-12-01,SC,0,Seeking information,0.050
2024-12-01,SC,0,Self-expression,0.122
2024-12-01,SC,0,Technical help,0.044
2024-12-01,SC,0,Writing,0.339
2024-12-01,SC,1,Multimedia,0.053
2024-12-01,SC,1,Other/Unknown,0.096
2024-12-01,SC,1,Practical Guidance,0.154
2024-12-01,SC,1,Seeking information,0.074
2024-12-01,SC,1,Self-expression,0.002
2024-12-01,SC,1,Technical help,0.198
2024-12-01,SC,1,Writing,0.423
2024-12-01,SD,0,Multimedia,0.000
2024-12-01,SD,0,Other/Unknown,0.070
2024-12-01,SD,0,Practical Guidance,0.272
2024-12-01,SD,0,Seeking information,0.238
2024-12-01,SD,0,Self-expression,0.188
2024-12-01,SD,0,Technical help,0.030
2024-12-01,SD,0,Writing,0.202
2024-12-01,SE,0,Multimedia,0.047
2024-12-01,SE,0,Other/Unknown,0.046
2024-12-01,SE,0,Practical Guidance,0.270
2024-12-01,SE,0,Seeking information,0.249
2024-12-01,SE,0,Self-expression,0.080
2024-12-01,SE,0,Technical help,0.058
2024-12-01,SE,0,Writing,0.250
2024-12-01,SE,1,Multimedia,0.021
2024-12-01,SE,1,Other/Unknown,0.025
2024-12-01,SE,1,Practical Guidance,0.238
2024-12-01,SE,1,Seeking information,0.091
2024-12-01,SE,1,Self-expression,0.018
2024-12-01,SE,1,Technical help,0.232
2024-12-01,SE,1,Writing,0.376
2024-12-01,SG,0,Multimedia,0.032
2024-12-01,SG,0,Other/Unknown,0.056
2024-12-01,SG,0,Practical Guidance,0.287
2024-12-01,SG,0,Seeking information,0.201
2024-12-01,SG,0,Self-expression,0.135
2024-12-01,SG,0,Technical help,0.039
2024-12-01,SG,0,Writing,0.251
2024-12-01,SG,1,Multimedia,0.020
2024-12-01,SG,1,Other/Unknown,0.013
2024-12-01,SG,1,Practical Guidance,0.224
2024-12-01,SG,1,Seeking information,0.100
2024-12-01,SG,1,Self-expression,0.005
2024-12-01,SG,1,Technical help,0.253
2024-12-01,SG,1,Writing,0.385
2024-12-01,SI,0,Multimedia,0.041
2024-12-01,SI,0,Other/Unknown,0.029
2024-12-01,SI,0,Practical Guidance,0.312
2024-12-01,SI,0,Seeking information,0.255
2024-12-01,SI,0,Self-expression,0.063
2024-12-01,SI,0,Technical help,0.114
2024-12-01,SI,0,Writing,0.185
2024-12-01,SI,1,Multimedia,0.082
2024-12-01,SI,1,Other/Unknown,0.000
2024-12-01,SI,1,Practical Guidance,0.167
2024-12-01,SI,1,Seeking information,0.157
2024-12-01,SI,1,Self-expression,0.009
2024-12-01,SI,1,Technical help,0.189
2024-12-01,SI,1,Writing,0.397
2024-12-01,SK,0,Multimedia,0.049
2024-12-01,SK,0,Other/Unknown,0.063
2024-12-01,SK,0,Practical Guidance,0.295
2024-12-01,SK,0,Seeking information,0.264
2024-12-01,SK,0,Self-expression,0.079
2024-12-01,SK,0,Technical help,0.028
2024-12-01,SK,0,Writing,0.221
2024-12-01,SK,1,Multimedia,0.027
2024-12-01,SK,1,Other/Unknown,0.010
2024-12-01,SK,1,Practical Guidance,0.214
2024-12-01,SK,1,Seeking information,0.153
2024-12-01,SK,1,Self-expression,0.037
2024-12-01,SK,1,Technical help,0.260
2024-12-01,SK,1,Writing,0.300
2024-12-01,SN,0,Multimedia,0.055
2024-12-01,SN,0,Other/Unknown,0.086
2024-12-01,SN,0,Practical Guidance,0.300
2024-12-01,SN,0,Seeking information,0.134
2024-12-01,SN,0,Self-expression,0.160
2024-12-01,SN,0,Technical help,0.070
2024-12-01,SN,0,Writing,0.195
2024-12-01,SO,0,Multimedia,0.013
2024-12-01,SO,0,Other/Unknown,0.132
2024-12-01,SO,0,Practical Guidance,0.319
2024-12-01,SO,0,Seeking information,0.129
2024-12-01,SO,0,Self-expression,0.191
2024-12-01,SO,0,Technical help,0.027
2024-12-01,SO,0,Writing,0.190
2024-12-01,SV,0,Multimedia,0.037
2024-12-01,SV,0,Other/Unknown,0.041
2024-12-01,SV,0,Practical Guidance,0.291
2024-12-01,SV,0,Seeking information,0.163
2024-12-01,SV,0,Self-expression,0.199
2024-12-01,SV,0,Technical help,0.022
2024-12-01,SV,0,Writing,0.248
2024-12-01,TH,0,Multimedia,0.036
2024-12-01,TH,0,Other/Unknown,0.057
2024-12-01,TH,0,Practical Guidance,0.280
2024-12-01,TH,0,Seeking information,0.216
2024-12-01,TH,0,Self-expression,0.092
2024-12-01,TH,0,Technical help,0.041
2024-12-01,TH,0,Writing,0.279
2024-12-01,TH,1,Multimedia,0.043
2024-12-01,TH,1,Other/Unknown,0.024
2024-12-01,TH,1,Practical Guidance,0.274
2024-12-01,TH,1,Seeking information,0.124
2024-12-01,TH,1,Self-expression,0.005
2024-12-01,TH,1,Technical help,0.146
2024-12-01,TH,1,Writing,0.384
2024-12-01,TN,0,Multimedia,0.051
2024-12-01,TN,0,Other/Unknown,0.078
2024-12-01,TN,0,Practical Guidance,0.250
2024-12-01,TN,0,Seeking information,0.149
2024-12-01,TN,0,Self-expression,0.171
2024-12-01,TN,0,Technical help,0.044
2024-12-01,TN,0,Writing,0.257
2024-12-01,TN,1,Multimedia,0.040
2024-12-01,TN,1,Other/Unknown,0.026
2024-12-01,TN,1,Practical Guidance,0.239
2024-12-01,TN,1,Seeking information,0.085
2024-12-01,TN,1,Self-expression,0.000
2024-12-01,TN,1,Technical help,0.273
2024-12-01,TN,1,Writing,0.337
2024-12-01,TR,0,Multimedia,0.077
2024-12-01,TR,0,Other/Unknown,0.070
2024-12-01,TR,0,Practical Guidance,0.270
2024-12-01,TR,0,Seeking information,0.191
2024-12-01,TR,0,Self-expression,0.136
2024-12-01,TR,0,Technical help,0.046
2024-12-01,TR,0,Writing,0.211
2024-12-01,TR,1,Multimedia,0.058
2024-12-01,TR,1,Other/Unknown,0.025
2024-12-01,TR,1,Practical Guidance,0.204
2024-12-01,TR,1,Seeking information,0.101
2024-12-01,TR,1,Self-expression,0.009
2024-12-01,TR,1,Technical help,0.225
2024-12-01,TR,1,Writing,0.379
2024-12-01,TW,0,Multimedia,0.045
2024-12-01,TW,0,Other/Unknown,0.048
2024-12-01,TW,0,Practical Guidance,0.243
2024-12-01,TW,0,Seeking information,0.189
2024-12-01,TW,0,Self-expression,0.139
2024-12-01,TW,0,Technical help,0.048
2024-12-01,TW,0,Writing,0.288
2024-12-01,TW,1,Multimedia,0.027
2024-12-01,TW,1,Other/Unknown,0.017
2024-12-01,TW,1,Practical Guidance,0.207
2024-12-01,TW,1,Seeking information,0.100
2024-12-01,TW,1,Self-expression,0.006
2024-12-01,TW,1,Technical help,0.235
2024-12-01,TW,1,Writing,0.408
2024-12-01,TZ,0,Multimedia,0.040
2024-12-01,TZ,0,Other/Unknown,0.046
2024-12-01,TZ,0,Practical Guidance,0.315
2024-12-01,TZ,0,Seeking information,0.291
2024-12-01,TZ,0,Self-expression,0.067
2024-12-01,TZ,0,Technical help,0.033
2024-12-01,TZ,0,Writing,0.208
2024-12-01,TZ,1,Multimedia,0.058
2024-12-01,TZ,1,Other/Unknown,0.000
2024-12-01,TZ,1,Practical Guidance,0.333
2024-12-01,TZ,1,Seeking information,0.116
2024-12-01,TZ,1,Self-expression,0.022
2024-12-01,TZ,1,Technical help,0.122
2024-12-01,TZ,1,Writing,0.348
2024-12-01,UA,0,Multimedia,0.038
2024-12-01,UA,0,Other/Unknown,0.056
2024-12-01,UA,0,Practical Guidance,0.315
2024-12-01,UA,0,Seeking information,0.217
2024-12-01,UA,0,Self-expression,0.114
2024-12-01,UA,0,Technical help,0.053
2024-12-01,UA,0,Writing,0.207
2024-12-01,UA,1,Multimedia,0.042
2024-12-01,UA,1,Other/Unknown,0.024
2024-12-01,UA,1,Practical Guidance,0.270
2024-12-01,UA,1,Seeking information,0.130
2024-12-01,UA,1,Self-expression,0.008
2024-12-01,UA,1,Technical help,0.175
2024-12-01,UA,1,Writing,0.351
2024-12-01,UG,0,Multimedia,0.034
2024-12-01,UG,0,Other/Unknown,0.073
2024-12-01,UG,0,Practical Guidance,0.261
2024-12-01,UG,0,Seeking information,0.236
2024-12-01,UG,0,Self-expression,0.079
2024-12-01,UG,0,Technical help,0.014
2024-12-01,UG,0,Writing,0.303
2024-12-01,US,0,Multimedia,0.036
2024-12-01,US,0,Other/Unknown,0.041
2024-12-01,US,0,Practical Guidance,0.312
2024-12-01,US,0,Seeking information,0.244
2024-12-01,US,0,Self-expression,0.078
2024-12-01,US,0,Technical help,0.076
2024-12-01,US,0,Writing,0.213
2024-12-01,US,1,Multimedia,0.031
2024-12-01,US,1,Other/Unknown,0.020
2024-12-01,US,1,Practical Guidance,0.229
2024-12-01,US,1,Seeking information,0.117
2024-12-01,US,1,Self-expression,0.008
2024-12-01,US,1,Technical help,0.166
2024-12-01,US,1,Writing,0.429
2024-12-01,UY,0,Multimedia,0.051
2024-12-01,UY,0,Other/Unknown,0.049
2024-12-01,UY,0,Practical Guidance,0.283
2024-12-01,UY,0,Seeking information,0.218
2024-12-01,UY,0,Self-expression,0.168
2024-12-01,UY,0,Technical help,0.068
2024-12-01,UY,0,Writing,0.163
2024-12-01,UZ,0,Multimedia,0.046
2024-12-01,UZ,0,Other/Unknown,0.102
2024-12-01,UZ,0,Practical Guidance,0.256
2024-12-01,UZ,0,Seeking information,0.192
2024-12-01,UZ,0,Self-expression,0.147
2024-12-01,UZ,0,Technical help,0.051
2024-12-01,UZ,0,Writing,0.205
2024-12-01,UZ,1,Multimedia,0.105
2024-12-01,UZ,1,Other/Unknown,0.011
2024-12-01,UZ,1,Practical Guidance,0.306
2024-12-01,UZ,1,Seeking information,0.133
2024-12-01,UZ,1,Self-expression,0.007
2024-12-01,UZ,1,Technical help,0.142
2024-12-01,UZ,1,Writing,0.296
2024-12-01,VN,0,Multimedia,0.037
2024-12-01,VN,0,Other/Unknown,0.061
2024-12-01,VN,0,Practical Guidance,0.282
2024-12-01,VN,0,Seeking information,0.155
2024-12-01,VN,0,Self-expression,0.116
2024-12-01,VN,0,Technical help,0.051
2024-12-01,VN,0,Writing,0.298
2024-12-01,VN,1,Multimedia,0.035
2024-12-01,VN,1,Other/Unknown,0.017
2024-12-01,VN,1,Practical Guidance,0.258
2024-12-01,VN,1,Seeking information,0.121
2024-12-01,VN,1,Self-expression,0.007
2024-12-01,VN,1,Technical help,0.206
2024-12-01,VN,1,Writing,0.356
2024-12-01,YE,0,Multimedia,0.022
2024-12-01,YE,0,Other/Unknown,0.084
2024-12-01,YE,0,Practical Guidance,0.213
2024-12-01,YE,0,Seeking information,0.179
2024-12-01,YE,0,Self-expression,0.179
2024-12-01,YE,0,Technical help,0.058
2024-12-01,YE,0,Writing,0.265
2024-12-01,ZA,0,Multimedia,0.021
2024-12-01,ZA,0,Other/Unknown,0.050
2024-12-01,ZA,0,Practical Guidance,0.246
2024-12-01,ZA,0,Seeking information,0.272
2024-12-01,ZA,0,Self-expression,0.092
2024-12-01,ZA,0,Technical help,0.034
2024-12-01,ZA,0,Writing,0.283
2024-12-01,ZA,1,Multimedia,0.057
2024-12-01,ZA,1,Other/Unknown,0.036
2024-12-01,ZA,1,Practical Guidance,0.219
2024-12-01,ZA,1,Seeking information,0.087
2024-12-01,ZA,1,Self-expression,0.012
2024-12-01,ZA,1,Technical help,0.142
2024-12-01,ZA,1,Writing,0.447
2025-01-01,AE,0,Multimedia,0.023
2025-01-01,AE,0,Other/Unknown,0.046
2025-01-01,AE,0,Practical Guidance,0.341
2025-01-01,AE,0,Seeking information,0.208
2025-01-01,AE,0,Self-expression,0.088
2025-01-01,AE,0,Technical help,0.052
2025-01-01,AE,0,Writing,0.242
2025-01-01,AE,1,Multimedia,0.042
2025-01-01,AE,1,Other/Unknown,0.025
2025-01-01,AE,1,Practical Guidance,0.172
2025-01-01,AE,1,Seeking information,0.125
2025-01-01,AE,1,Self-expression,0.009
2025-01-01,AE,1,Technical help,0.084
2025-01-01,AE,1,Writing,0.544
2025-01-01,AF,0,Multimedia,0.027
2025-01-01,AF,0,Other/Unknown,0.096
2025-01-01,AF,0,Practical Guidance,0.210
2025-01-01,AF,0,Seeking information,0.229
2025-01-01,AF,0,Self-expression,0.195
2025-01-01,AF,0,Technical help,0.013
2025-01-01,AF,0,Writing,0.229
2025-01-01,AL,0,Multimedia,0.035
2025-01-01,AL,0,Other/Unknown,0.083
2025-01-01,AL,0,Practical Guidance,0.292
2025-01-01,AL,0,Seeking information,0.214
2025-01-01,AL,0,Self-expression,0.085
2025-01-01,AL,0,Technical help,0.053
2025-01-01,AL,0,Writing,0.237
2025-01-01,AM,0,Multimedia,0.047
2025-01-01,AM,0,Other/Unknown,0.074
2025-01-01,AM,0,Practical Guidance,0.247
2025-01-01,AM,0,Seeking information,0.167
2025-01-01,AM,0,Self-expression,0.186
2025-01-01,AM,0,Technical help,0.036
2025-01-01,AM,0,Writing,0.243
2025-01-01,AM,1,Multimedia,0.000
2025-01-01,AM,1,Other/Unknown,0.060
2025-01-01,AM,1,Practical Guidance,0.305
2025-01-01,AM,1,Seeking information,0.090
2025-01-01,AM,1,Self-expression,0.000
2025-01-01,AM,1,Technical help,0.245
2025-01-01,AM,1,Writing,0.301
2025-01-01,AO,0,Multimedia,0.070
2025-01-01,AO,0,Other/Unknown,0.036
2025-01-01,AO,0,Practical Guidance,0.313
2025-01-01,AO,0,Seeking information,0.244
2025-01-01,AO,0,Self-expression,0.088
2025-01-01,AO,0,Technical help,0.041
2025-01-01,AO,0,Writing,0.207
2025-01-01,AO,1,Multimedia,0.003
2025-01-01,AO,1,Other/Unknown,0.034
2025-01-01,AO,1,Practical Guidance,0.383
2025-01-01,AO,1,Seeking information,0.118
2025-01-01,AO,1,Self-expression,0.000
2025-01-01,AO,1,Technical help,0.099
2025-01-01,AO,1,Writing,0.362
2025-01-01,AR,0,Multimedia,0.030
2025-01-01,AR,0,Other/Unknown,0.053
2025-01-01,AR,0,Practical Guidance,0.323
2025-01-01,AR,0,Seeking information,0.263
2025-01-01,AR,0,Self-expression,0.121
2025-01-01,AR,0,Technical help,0.029
2025-01-01,AR,0,Writing,0.180
2025-01-01,AR,1,Multimedia,0.056
2025-01-01,AR,1,Other/Unknown,0.027
2025-01-01,AR,1,Practical Guidance,0.235
2025-01-01,AR,1,Seeking information,0.080
2025-01-01,AR,1,Self-expression,0.013
2025-01-01,AR,1,Technical help,0.210
2025-01-01,AR,1,Writing,0.378
2025-01-01,AT,0,Multimedia,0.037
2025-01-01,AT,0,Other/Unknown,0.048
2025-01-01,AT,0,Practical Guidance,0.302
2025-01-01,AT,0,Seeking information,0.224
2025-01-01,AT,0,Self-expression,0.068
2025-01-01,AT,0,Technical help,0.052
2025-01-01,AT,0,Writing,0.269
2025-01-01,AT,1,Multimedia,0.043
2025-01-01,AT,1,Other/Unknown,0.017
2025-01-01,AT,1,Practical Guidance,0.261
2025-01-01,AT,1,Seeking information,0.104
2025-01-01,AT,1,Self-expression,0.006
2025-01-01,AT,1,Technical help,0.153
2025-01-01,AT,1,Writing,0.418
2025-01-01,AU,0,Multimedia,0.029
2025-01-01,AU,0,Other/Unknown,0.039
2025-01-01,AU,0,Practical Guidance,0.277
2025-01-01,AU,0,Seeking information,0.247
2025-01-01,AU,0,Self-expression,0.095
2025-01-01,AU,0,Technical help,0.044
2025-01-01,AU,0,Writing,0.268
2025-01-01,AU,1,Multimedia,0.025
2025-01-01,AU,1,Other/Unknown,0.028
2025-01-01,AU,1,Practical Guidance,0.224
2025-01-01,AU,1,Seeking information,0.104
2025-01-01,AU,1,Self-expression,0.011
2025-01-01,AU,1,Technical help,0.103
2025-01-01,AU,1,Writing,0.504
2025-01-01,AZ,0,Multimedia,0.039
2025-01-01,AZ,0,Other/Unknown,0.087
2025-01-01,AZ,0,Practical Guidance,0.250
2025-01-01,AZ,0,Seeking information,0.219
2025-01-01,AZ,0,Self-expression,0.148
2025-01-01,AZ,0,Technical help,0.043
2025-01-01,AZ,0,Writing,0.213
2025-01-01,AZ,1,Multimedia,0.003
2025-01-01,AZ,1,Other/Unknown,0.044
2025-01-01,AZ,1,Practical Guidance,0.330
2025-01-01,AZ,1,Seeking information,0.164
2025-01-01,AZ,1,Self-expression,0.009
2025-01-01,AZ,1,Technical help,0.202
2025-01-01,AZ,1,Writing,0.248
2025-01-01,BA,0,Multimedia,0.040
2025-01-01,BA,0,Other/Unknown,0.087
2025-01-01,BA,0,Practical Guidance,0.252
2025-01-01,BA,0,Seeking information,0.284
2025-01-01,BA,0,Self-expression,0.062
2025-01-01,BA,0,Technical help,0.017
2025-01-01,BA,0,Writing,0.259
2025-01-01,BD,0,Multimedia,0.045
2025-01-01,BD,0,Other/Unknown,0.082
2025-01-01,BD,0,Practical Guidance,0.245
2025-01-01,BD,0,Seeking information,0.212
2025-01-01,BD,0,Self-expression,0.132
2025-01-01,BD,0,Technical help,0.043
2025-01-01,BD,0,Writing,0.241
2025-01-01,BD,1,Multimedia,0.041
2025-01-01,BD,1,Other/Unknown,0.026
2025-01-01,BD,1,Practical Guidance,0.249
2025-01-01,BD,1,Seeking information,0.095
2025-01-01,BD,1,Self-expression,0.013
2025-01-01,BD,1,Technical help,0.194
2025-01-01,BD,1,Writing,0.382
2025-01-01,BE,0,Multimedia,0.038
2025-01-01,BE,0,Other/Unknown,0.044
2025-01-01,BE,0,Practical Guidance,0.341
2025-01-01,BE,0,Seeking information,0.250
2025-01-01,BE,0,Self-expression,0.064
2025-01-01,BE,0,Technical help,0.038
2025-01-01,BE,0,Writing,0.224
2025-01-01,BE,1,Multimedia,0.032
2025-01-01,BE,1,Other/Unknown,0.021
2025-01-01,BE,1,Practical Guidance,0.267
2025-01-01,BE,1,Seeking information,0.113
2025-01-01,BE,1,Self-expression,0.006
2025-01-01,BE,1,Technical help,0.131
2025-01-01,BE,1,Writing,0.430
2025-01-01,BG,0,Multimedia,0.060
2025-01-01,BG,0,Other/Unknown,0.049
2025-01-01,BG,0,Practical Guidance,0.315
2025-01-01,BG,0,Seeking information,0.255
2025-01-01,BG,0,Self-expression,0.098
2025-01-01,BG,0,Technical help,0.037
2025-01-01,BG,0,Writing,0.185
2025-01-01,BG,1,Multimedia,0.036
2025-01-01,BG,1,Other/Unknown,0.029
2025-01-01,BG,1,Practical Guidance,0.241
2025-01-01,BG,1,Seeking information,0.137
2025-01-01,BG,1,Self-expression,0.010
2025-01-01,BG,1,Technical help,0.200
2025-01-01,BG,1,Writing,0.348
2025-01-01,BH,0,Multimedia,0.048
2025-01-01,BH,0,Other/Unknown,0.051
2025-01-01,BH,0,Practical Guidance,0.279
2025-01-01,BH,0,Seeking information,0.269
2025-01-01,BH,0,Self-expression,0.148
2025-01-01,BH,0,Technical help,0.039
2025-01-01,BH,0,Writing,0.166
2025-01-01,BO,0,Multimedia,0.024
2025-01-01,BO,0,Other/Unknown,0.047
2025-01-01,BO,0,Practical Guidance,0.348
2025-01-01,BO,0,Seeking information,0.197
2025-01-01,BO,0,Self-expression,0.120
2025-01-01,BO,0,Technical help,0.051
2025-01-01,BO,0,Writing,0.212
2025-01-01,BO,1,Multimedia,0.061
2025-01-01,BO,1,Other/Unknown,0.063
2025-01-01,BO,1,Practical Guidance,0.175
2025-01-01,BO,1,Seeking information,0.110
2025-01-01,BO,1,Self-expression,0.000
2025-01-01,BO,1,Technical help,0.139
2025-01-01,BO,1,Writing,0.453
2025-01-01,BR,0,Multimedia,0.046
2025-01-01,BR,0,Other/Unknown,0.052
2025-01-01,BR,0,Practical Guidance,0.276
2025-01-01,BR,0,Seeking information,0.228
2025-01-01,BR,0,Self-expression,0.110
2025-01-01,BR,0,Technical help,0.040
2025-01-01,BR,0,Writing,0.248
2025-01-01,BR,1,Multimedia,0.042
2025-01-01,BR,1,Other/Unknown,0.032
2025-01-01,BR,1,Practical Guidance,0.206
2025-01-01,BR,1,Seeking information,0.097
2025-01-01,BR,1,Self-expression,0.014
2025-01-01,BR,1,Technical help,0.150
2025-01-01,BR,1,Writing,0.458
2025-01-01,CA,0,Multimedia,0.035
2025-01-01,CA,0,Other/Unknown,0.040
2025-01-01,CA,0,Practical Guidance,0.321
2025-01-01,CA,0,Seeking information,0.244
2025-01-01,CA,0,Self-expression,0.075
2025-01-01,CA,0,Technical help,0.063
2025-01-01,CA,0,Writing,0.223
2025-01-01,CA,1,Multimedia,0.024
2025-01-01,CA,1,Other/Unknown,0.023
2025-01-01,CA,1,Practical Guidance,0.220
2025-01-01,CA,1,Seeking information,0.123
2025-01-01,CA,1,Self-expression,0.010
2025-01-01,CA,1,Technical help,0.130
2025-01-01,CA,1,Writing,0.468
2025-01-01,CH,0,Multimedia,0.040
2025-01-01,CH,0,Other/Unknown,0.052
2025-01-01,CH,0,Practical Guidance,0.310
2025-01-01,CH,0,Seeking information,0.245
2025-01-01,CH,0,Self-expression,0.090
2025-01-01,CH,0,Technical help,0.042
2025-01-01,CH,0,Writing,0.222
2025-01-01,CH,1,Multimedia,0.036
2025-01-01,CH,1,Other/Unknown,0.027
2025-01-01,CH,1,Practical Guidance,0.205
2025-01-01,CH,1,Seeking information,0.124
2025-01-01,CH,1,Self-expression,0.010
2025-01-01,CH,1,Technical help,0.127
2025-01-01,CH,1,Writing,0.472
2025-01-01,CI,0,Multimedia,0.042
2025-01-01,CI,0,Other/Unknown,0.045
2025-01-01,CI,0,Practical Guidance,0.299
2025-01-01,CI,0,Seeking information,0.173
2025-01-01,CI,0,Self-expression,0.063
2025-01-01,CI,0,Technical help,0.044
2025-01-01,CI,0,Writing,0.334
2025-01-01,CI,1,Multimedia,0.000
2025-01-01,CI,1,Other/Unknown,0.048
2025-01-01,CI,1,Practical Guidance,0.284
2025-01-01,CI,1,Seeking information,0.152
2025-01-01,CI,1,Self-expression,0.000
