month,country,topic,typical_name_gender,share_of_messages
2024-10-01,PT,Writing,feminine,0.559
2024-10-01,PT,Writing,masculine,0.441
2024-10-01,RO,Practical Guidance,feminine,0.509
2024-10-01,RO,Practical Guidance,masculine,0.491
2024-10-01,RO,Seeking information,feminine,0.491
2024-10-01,RO,Seeking information,masculine,0.509
2024-10-01,RO,Technical help,feminine,0.359
2024-10-01,RO,Technical help,masculine,0.641
2024-10-01,RO,Writing,feminine,0.603
2024-10-01,RO,Writing,masculine,0.397
2024-10-01,RS,Writing,feminine,0.607
2024-10-01,RS,Writing,masculine,0.393
2024-10-01,SA,Practical Guidance,feminine,0.514
2024-10-01,SA,Practical Guidance,masculine,0.486
2024-10-01,SA,Seeking information,feminine,0.368
2024-10-01,SA,Seeking information,masculine,0.632
2024-10-01,SA,Self-expression,feminine,0.554
2024-10-01,SA,Self-expression,masculine,0.446
2024-10-01,SA,Writing,feminine,0.435
2024-10-01,SA,Writing,masculine,0.565
2024-10-01,SE,Practical Guidance,feminine,0.479
2024-10-01,SE,Practical Guidance,masculine,0.521
2024-10-01,SE,Seeking information,feminine,0.404
2024-10-01,SE,Seeking information,masculine,0.596
2024-10-01,SE,Technical help,feminine,0.266
2024-10-01,SE,Technical help,masculine,0.734
2024-10-01,SE,Writing,feminine,0.510
2024-10-01,SE,Writing,masculine,0.490
2024-10-01,SG,Practical Guidance,feminine,0.384
2024-10-01,SG,Practical Guidance,masculine,0.616
2024-10-01,SG,Seeking information,feminine,0.432
2024-10-01,SG,Seeking information,masculine,0.568
2024-10-01,SG,Technical help,feminine,0.284
2024-10-01,SG,Technical help,masculine,0.716
2024-10-01,SG,Writing,feminine,0.494
2024-10-01,SG,Writing,masculine,0.506
2024-10-01,SK,Practical Guidance,feminine,0.518
2024-10-01,SK,Practical Guidance,masculine,0.482
2024-10-01,SK,Writing,feminine,0.600
2024-10-01,SK,Writing,masculine,0.400
2024-10-01,SV,Practical Guidance,feminine,0.458
2024-10-01,SV,Practical Guidance,masculine,0.542
2024-10-01,TH,Practical Guidance,feminine,0.360
2024-10-01,TH,Practical Guidance,masculine,0.640
2024-10-01,TH,Writing,feminine,0.532
2024-10-01,TH,Writing,masculine,0.468
2024-10-01,TN,Practical Guidance,feminine,0.597
2024-10-01,TN,Practical Guidance,masculine,0.403
2024-10-01,TN,Writing,feminine,0.644
2024-10-01,TN,Writing,masculine,0.356
2024-10-01,TR,Multimedia,feminine,0.255
2024-10-01,TR,Multimedia,masculine,0.745
2024-10-01,TR,Other/Unknown,feminine,0.347
2024-10-01,TR,Other/Unknown,masculine,0.653
2024-10-01,TR,Practical Guidance,feminine,0.396
2024-10-01,TR,Practical Guidance,masculine,0.604
2024-10-01,TR,Seeking information,feminine,0.328
2024-10-01,TR,Seeking information,masculine,0.672
2024-10-01,TR,Self-expression,feminine,0.442
2024-10-01,TR,Self-expression,masculine,0.558
2024-10-01,TR,Technical help,feminine,0.280
2024-10-01,TR,Technical help,masculine,0.720
2024-10-01,TR,Writing,feminine,0.433
2024-10-01,TR,Writing,masculine,0.567
2024-10-01,TW,Practical Guidance,feminine,0.410
2024-10-01,TW,Practical Guidance,masculine,0.590
2024-10-01,TW,Technical help,feminine,0.250
2024-10-01,TW,Technical help,masculine,0.750
2024-10-01,TW,Writing,feminine,0.515
2024-10-01,TW,Writing,masculine,0.485
2024-10-01,UA,Practical Guidance,feminine,0.516
2024-10-01,UA,Practical Guidance,masculine,0.484
2024-10-01,UA,Seeking information,feminine,0.485
2024-10-01,UA,Seeking information,masculine,0.515
2024-10-01,UA,Self-expression,feminine,0.427
2024-10-01,UA,Self-expression,masculine,0.573
2024-10-01,UA,Technical help,feminine,0.300
2024-10-01,UA,Technical help,masculine,0.700
2024-10-01,UA,Writing,feminine,0.609
2024-10-01,UA,Writing,masculine,0.391
2024-10-01,US,Multimedia,feminine,0.316
2024-10-01,US,Multimedia,masculine,0.684
2024-10-01,US,Other/Unknown,feminine,0.397
2024-10-01,US,Other/Unknown,masculine,0.603
2024-10-01,US,Practical Guidance,feminine,0.442
2024-10-01,US,Practical Guidance,masculine,0.558
2024-10-01,US,Seeking information,feminine,0.404
2024-10-01,US,Seeking information,masculine,0.596
2024-10-01,US,Self-expression,feminine,0.467
2024-10-01,US,Self-expression,masculine,0.533
2024-10-01,US,Technical help,feminine,0.321
2024-10-01,US,Technical help,masculine,0.679
2024-10-01,US,Writing,feminine,0.514
2024-10-01,US,Writing,masculine,0.486
2024-10-01,UY,Practical Guidance,feminine,0.552
2024-10-01,UY,Practical Guidance,masculine,0.448
2024-10-01,UY,Writing,feminine,0.573
2024-10-01,UY,Writing,masculine,0.427
2024-10-01,VN,Practical Guidance,feminine,0.454
2024-10-01,VN,Practical Guidance,masculine,0.546
2024-10-01,VN,Seeking information,feminine,0.485
2024-10-01,VN,Seeking information,masculine,0.515
2024-10-01,VN,Technical help,feminine,0.373
2024-10-01,VN,Technical help,masculine,0.627
2024-10-01,VN,Writing,feminine,0.464
2024-10-01,VN,Writing,masculine,0.536
2024-10-01,ZA,Practical Guidance,feminine,0.496
2024-10-01,ZA,Practical Guidance,masculine,0.504
2024-10-01,ZA,Seeking information,feminine,0.454
2024-10-01,ZA,Seeking information,masculine,0.546
2024-10-01,ZA,Technical help,feminine,0.363
2024-10-01,ZA,Technical help,masculine,0.637
2024-10-01,ZA,Writing,feminine,0.626
2024-10-01,ZA,Writing,masculine,0.374
2024-11-01,AE,Practical Guidance,feminine,0.507
2024-11-01,AE,Practical Guidance,masculine,0.493
2024-11-01,AE,Seeking information,feminine,0.354
2024-11-01,AE,Seeking information,masculine,0.646
2024-11-01,AE,Technical help,feminine,0.344
2024-11-01,AE,Technical help,masculine,0.656
2024-11-01,AE,Writing,feminine,0.506
2024-11-01,AE,Writing,masculine,0.494
2024-11-01,AR,Multimedia,feminine,0.342
2024-11-01,AR,Multimedia,masculine,0.658
2024-11-01,AR,Other/Unknown,feminine,0.403
2024-11-01,AR,Other/Unknown,masculine,0.597
2024-11-01,AR,Practical Guidance,feminine,0.518
2024-11-01,AR,Practical Guidance,masculine,0.482
2024-11-01,AR,Seeking information,feminine,0.451
2024-11-01,AR,Seeking information,masculine,0.549
2024-11-01,AR,Self-expression,feminine,0.509
2024-11-01,AR,Self-expression,masculine,0.491
2024-11-01,AR,Technical help,feminine,0.285
2024-11-01,AR,Technical help,masculine,0.715
2024-11-01,AR,Writing,feminine,0.558
2024-11-01,AR,Writing,masculine,0.442
2024-11-01,AT,Practical Guidance,feminine,0.491
2024-11-01,AT,Practical Guidance,masculine,0.509
2024-11-01,AT,Seeking information,feminine,0.383
2024-11-01,AT,Seeking information,masculine,0.617
2024-11-01,AT,Technical help,feminine,0.296
2024-11-01,AT,Technical help,masculine,0.704
2024-11-01,AT,Writing,feminine,0.572
2024-11-01,AT,Writing,masculine,0.428
2024-11-01,AU,Practical Guidance,feminine,0.462
2024-11-01,AU,Practical Guidance,masculine,0.538
2024-11-01,AU,Seeking information,feminine,0.397
2024-11-01,AU,Seeking information,masculine,0.603
2024-11-01,AU,Self-expression,feminine,0.499
2024-11-01,AU,Self-expression,masculine,0.501
2024-11-01,AU,Technical help,feminine,0.257
2024-11-01,AU,Technical help,masculine,0.743
2024-11-01,AU,Writing,feminine,0.557
2024-11-01,AU,Writing,masculine,0.443
2024-11-01,BD,Practical Guidance,feminine,0.333
2024-11-01,BD,Practical Guidance,masculine,0.667
2024-11-01,BD,Seeking information,feminine,0.359
2024-11-01,BD,Seeking information,masculine,0.641
2024-11-01,BD,Self-expression,feminine,0.413
2024-11-01,BD,Self-expression,masculine,0.587
2024-11-01,BD,Technical help,feminine,0.329
2024-11-01,BD,Technical help,masculine,0.671
2024-11-01,BD,Writing,feminine,0.333
2024-11-01,BD,Writing,masculine,0.667
2024-11-01,BE,Practical Guidance,feminine,0.529
2024-11-01,BE,Practical Guidance,masculine,0.471
2024-11-01,BE,Seeking information,feminine,0.457
2024-11-01,BE,Seeking information,masculine,0.543
2024-11-01,BE,Technical help,feminine,0.261
2024-11-01,BE,Technical help,masculine,0.739
2024-11-01,BE,Writing,feminine,0.608
2024-11-01,BE,Writing,masculine,0.392
2024-11-01,BG,Practical Guidance,feminine,0.484
2024-11-01,BG,Practical Guidance,masculine,0.516
2024-11-01,BO,Practical Guidance,feminine,0.489
2024-11-01,BO,Practical Guidance,masculine,0.511
2024-11-01,BO,Seeking information,feminine,0.498
2024-11-01,BO,Seeking information,masculine,0.502
2024-11-01,BO,Writing,feminine,0.496
2024-11-01,BO,Writing,masculine,0.504
2024-11-01,BR,Multimedia,feminine,0.422
2024-11-01,BR,Multimedia,masculine,0.578
2024-11-01,BR,Other/Unknown,feminine,0.430
2024-11-01,BR,Other/Unknown,masculine,0.570
2024-11-01,BR,Practical Guidance,feminine,0.510
2024-11-01,BR,Practical Guidance,masculine,0.490
2024-11-01,BR,Seeking information,feminine,0.479
2024-11-01,BR,Seeking information,masculine,0.521
2024-11-01,BR,Self-expression,feminine,0.571
2024-11-01,BR,Self-expression,masculine,0.429
2024-11-01,BR,Technical help,feminine,0.280
2024-11-01,BR,Technical help,masculine,0.720
2024-11-01,BR,Writing,feminine,0.571
2024-11-01,BR,Writing,masculine,0.429
2024-11-01,CA,Multimedia,feminine,0.379
2024-11-01,CA,Multimedia,masculine,0.621
2024-11-01,CA,Other/Unknown,feminine,0.397
2024-11-01,CA,Other/Unknown,masculine,0.603
2024-11-01,CA,Practical Guidance,feminine,0.485
2024-11-01,CA,Practical Guidance,masculine,0.515
2024-11-01,CA,Seeking information,feminine,0.431
2024-11-01,CA,Seeking information,masculine,0.569
2024-11-01,CA,Self-expression,feminine,0.561
2024-11-01,CA,Self-expression,masculine,0.439
2024-11-01,CA,Technical help,feminine,0.334
2024-11-01,CA,Technical help,masculine,0.666
2024-11-01,CA,Writing,feminine,0.550
2024-11-01,CA,Writing,masculine,0.450
2024-11-01,CH,Practical Guidance,feminine,0.504
2024-11-01,CH,Practical Guidance,masculine,0.496
2024-11-01,CH,Seeking information,feminine,0.445
2024-11-01,CH,Seeking information,masculine,0.555
2024-11-01,CH,Technical help,feminine,0.302
2024-11-01,CH,Technical help,masculine,0.698
2024-11-01,CH,Writing,feminine,0.521
2024-11-01,CH,Writing,masculine,0.479
2024-11-01,CL,Practical Guidance,feminine,0.485
2024-11-01,CL,Practical Guidance,masculine,0.515
2024-11-01,CL,Seeking information,feminine,0.405
2024-11-01,CL,Seeking information,masculine,0.595
2024-11-01,CL,Technical help,feminine,0.208
2024-11-01,CL,Technical help,masculine,0.792
2024-11-01,CL,Writing,feminine,0.529
2024-11-01,CL,Writing,masculine,0.471
2024-11-01,CO,Multimedia,feminine,0.395
2024-11-01,CO,Multimedia,masculine,0.605
2024-11-01,CO,Other/Unknown,feminine,0.479
2024-11-01,CO,Other/Unknown,masculine,0.521
2024-11-01,CO,Practical Guidance,feminine,0.498
2024-11-01,CO,Practical Guidance,masculine,0.502
2024-11-01,CO,Seeking information,feminine,0.501
2024-11-01,CO,Seeking information,masculine,0.499
2024-11-01,CO,Self-expression,feminine,0.536
2024-11-01,CO,Self-expression,masculine,0.464
2024-11-01,CO,Technical help,feminine,0.362
2024-11-01,CO,Technical help,masculine,0.638
2024-11-01,CO,Writing,feminine,0.563
2024-11-01,CO,Writing,masculine,0.437
2024-11-01,CR,Practical Guidance,feminine,0.384
2024-11-01,CR,Practical Guidance,masculine,0.616
2024-11-01,CR,Writing,feminine,0.538
2024-11-01,CR,Writing,masculine,0.462
2024-11-01,CZ,Practical Guidance,feminine,0.449
2024-11-01,CZ,Practical Guidance,masculine,0.551
2024-11-01,CZ,Seeking information,feminine,0.415
2024-11-01,CZ,Seeking information,masculine,0.585
2024-11-01,CZ,Technical help,feminine,0.232
2024-11-01,CZ,Technical help,masculine,0.768
2024-11-01,CZ,Writing,feminine,0.520
2024-11-01,CZ,Writing,masculine,0.480
2024-11-01,DE,Multimedia,feminine,0.367
2024-11-01,DE,Multimedia,masculine,0.633
2024-11-01,DE,Other/Unknown,feminine,0.403
2024-11-01,DE,Other/Unknown,masculine,0.597
2024-11-01,DE,Practical Guidance,feminine,0.463
2024-11-01,DE,Practical Guidance,masculine,0.537
2024-11-01,DE,Seeking information,feminine,0.392
2024-11-01,DE,Seeking information,masculine,0.608
2024-11-01,DE,Self-expression,feminine,0.499
2024-11-01,DE,Self-expression,masculine,0.501
2024-11-01,DE,Technical help,feminine,0.282
2024-11-01,DE,Technical help,masculine,0.718
2024-11-01,DE,Writing,feminine,0.523
2024-11-01,DE,Writing,masculine,0.477
2024-11-01,DK,Practical Guidance,feminine,0.467
2024-11-01,DK,Practical Guidance,masculine,0.533
2024-11-01,DK,Seeking information,feminine,0.273
2024-11-01,DK,Seeking information,masculine,0.727
2024-11-01,DK,Technical help,feminine,0.242
2024-11-01,DK,Technical help,masculine,0.758
2024-11-01,DK,Writing,feminine,0.610
2024-11-01,DK,Writing,masculine,0.390
2024-11-01,DO,Practical Guidance,feminine,0.541
2024-11-01,DO,Practical Guidance,masculine,0.459
2024-11-01,DO,Seeking information,feminine,0.545
2024-11-01,DO,Seeking information,masculine,0.455
2024-11-01,DO,Writing,feminine,0.624
2024-11-01,DO,Writing,masculine,0.376
2024-11-01,DZ,Practical Guidance,feminine,0.569
2024-11-01,DZ,Practical Guidance,masculine,0.431
2024-11-01,DZ,Seeking information,feminine,0.465
2024-11-01,DZ,Seeking information,masculine,0.535
2024-11-01,DZ,Writing,feminine,0.596
2024-11-01,DZ,Writing,masculine,0.404
2024-11-01,EC,Practical Guidance,feminine,0.537
2024-11-01,EC,Practical Guidance,masculine,0.463
2024-11-01,EC,Seeking information,feminine,0.490
2024-11-01,EC,Seeking information,masculine,0.510
2024-11-01,EC,Technical help,feminine,0.383
2024-11-01,EC,Technical help,masculine,0.617
2024-11-01,EC,Writing,feminine,0.510
2024-11-01,EC,Writing,masculine,0.490
2024-11-01,EG,Multimedia,feminine,0.368
2024-11-01,EG,Multimedia,masculine,0.632
2024-11-01,EG,Other/Unknown,feminine,0.471
2024-11-01,EG,Other/Unknown,masculine,0.529
2024-11-01,EG,Practical Guidance,feminine,0.478
2024-11-01,EG,Practical Guidance,masculine,0.522
2024-11-01,EG,Seeking information,feminine,0.411
2024-11-01,EG,Seeking information,masculine,0.589
2024-11-01,EG,Self-expression,feminine,0.556
2024-11-01,EG,Self-expression,masculine,0.444
2024-11-01,EG,Technical help,feminine,0.287
2024-11-01,EG,Technical help,masculine,0.713
2024-11-01,EG,Writing,feminine,0.491
2024-11-01,EG,Writing,masculine,0.509
2024-11-01,ES,Multimedia,feminine,0.472
2024-11-01,ES,Multimedia,masculine,0.528
2024-11-01,ES,Other/Unknown,feminine,0.535
2024-11-01,ES,Other/Unknown,masculine,0.465
2024-11-01,ES,Practical Guidance,feminine,0.563
2024-11-01,ES,Practical Guidance,masculine,0.437
2024-11-01,ES,Seeking information,feminine,0.482
2024-11-01,ES,Seeking information,masculine,0.518
2024-11-01,ES,Self-expression,feminine,0.527
2024-11-01,ES,Self-expression,masculine,0.473
2024-11-01,ES,Technical help,feminine,0.303
2024-11-01,ES,Technical help,masculine,0.697
2024-11-01,ES,Writing,feminine,0.600
2024-11-01,ES,Writing,masculine,0.400
2024-11-01,FI,Practical Guidance,feminine,0.495
2024-11-01,FI,Practical Guidance,masculine,0.505
2024-11-01,FI,Seeking information,feminine,0.409
2024-11-01,FI,Seeking information,masculine,0.591
2024-11-01,FI,Writing,feminine,0.583
2024-11-01,FI,Writing,masculine,0.417
2024-11-01,FR,Multimedia,feminine,0.367
2024-11-01,FR,Multimedia,masculine,0.633
2024-11-01,FR,Other/Unknown,feminine,0.483
2024-11-01,FR,Other/Unknown,masculine,0.517
2024-11-01,FR,Practical Guidance,feminine,0.487
2024-11-01,FR,Practical Guidance,masculine,0.513
2024-11-01,FR,Seeking information,feminine,0.460
2024-11-01,FR,Seeking information,masculine,0.540
2024-11-01,FR,Self-expression,feminine,0.625
2024-11-01,FR,Self-expression,masculine,0.375
2024-11-01,FR,Technical help,feminine,0.302
2024-11-01,FR,Technical help,masculine,0.698
2024-11-01,FR,Writing,feminine,0.547
2024-11-01,FR,Writing,masculine,0.453
2024-11-01,GB,Multimedia,feminine,0.332
2024-11-01,GB,Multimedia,masculine,0.668
2024-11-01,GB,Other/Unknown,feminine,0.349
2024-11-01,GB,Other/Unknown,masculine,0.651
2024-11-01,GB,Practical Guidance,feminine,0.438
2024-11-01,GB,Practical Guidance,masculine,0.562
2024-11-01,GB,Seeking information,feminine,0.382
2024-11-01,GB,Seeking information,masculine,0.618
2024-11-01,GB,Self-expression,feminine,0.441
2024-11-01,GB,Self-expression,masculine,0.559
2024-11-01,GB,Technical help,feminine,0.226
2024-11-01,GB,Technical help,masculine,0.774
2024-11-01,GB,Writing,feminine,0.533
2024-11-01,GB,Writing,masculine,0.467
2024-11-01,GH,Practical Guidance,feminine,0.424
2024-11-01,GH,Practical Guidance,masculine,0.576
2024-11-01,GH,Writing,feminine,0.399
2024-11-01,GH,Writing,masculine,0.601
2024-11-01,GR,Practical Guidance,feminine,0.453
2024-11-01,GR,Practical Guidance,masculine,0.547
2024-11-01,GR,Writing,feminine,0.521
2024-11-01,GR,Writing,masculine,0.479
2024-11-01,GT,Practical Guidance,feminine,0.458
2024-11-01,GT,Practical Guidance,masculine,0.542
2024-11-01,HU,Practical Guidance,feminine,0.397
2024-11-01,HU,Practical Guidance,masculine,0.603
2024-11-01,HU,Seeking information,feminine,0.415
2024-11-01,HU,Seeking information,masculine,0.585
2024-11-01,HU,Writing,feminine,0.476
2024-11-01,HU,Writing,masculine,0.524
2024-11-01,ID,Multimedia,feminine,0.434
2024-11-01,ID,Multimedia,masculine,0.566
2024-11-01,ID,Other/Unknown,feminine,0.585
2024-11-01,ID,Other/Unknown,masculine,0.415
2024-11-01,ID,Practical Guidance,feminine,0.619
2024-11-01,ID,Practical Guidance,masculine,0.381
2024-11-01,ID,Seeking information,feminine,0.566
2024-11-01,ID,Seeking information,masculine,0.434
2024-11-01,ID,Self-expression,feminine,0.610
2024-11-01,ID,Self-expression,masculine,0.390
2024-11-01,ID,Technical help,feminine,0.507
2024-11-01,ID,Technical help,masculine,0.493
2024-11-01,ID,Writing,feminine,0.630
2024-11-01,ID,Writing,masculine,0.370
2024-11-01,IE,Practical Guidance,feminine,0.497
2024-11-01,IE,Practical Guidance,masculine,0.503
2024-11-01,IE,Seeking information,feminine,0.422
2024-11-01,IE,Seeking information,masculine,0.578
2024-11-01,IE,Writing,feminine,0.555
2024-11-01,IE,Writing,masculine,0.445
2024-11-01,IL,Practical Guidance,feminine,0.409
2024-11-01,IL,Practical Guidance,masculine,0.591
2024-11-01,IL,Seeking information,feminine,0.333
2024-11-01,IL,Seeking information,masculine,0.667
2024-11-01,IL,Technical help,feminine,0.227
2024-11-01,IL,Technical help,masculine,0.773
2024-11-01,IL,Writing,feminine,0.447
2024-11-01,IL,Writing,masculine,0.553
2024-11-01,IN,Multimedia,feminine,0.367
2024-11-01,IN,Multimedia,masculine,0.633
2024-11-01,IN,Other/Unknown,feminine,0.370
2024-11-01,IN,Other/Unknown,masculine,0.630
2024-11-01,IN,Practical Guidance,feminine,0.414
2024-11-01,IN,Practical Guidance,masculine,0.586
2024-11-01,IN,Seeking information,feminine,0.376
2024-11-01,IN,Seeking information,masculine,0.624
2024-11-01,IN,Self-expression,feminine,0.442
2024-11-01,IN,Self-expression,masculine,0.558
2024-11-01,IN,Technical help,feminine,0.300
2024-11-01,IN,Technical help,masculine,0.700
2024-11-01,IN,Writing,feminine,0.424
2024-11-01,IN,Writing,masculine,0.576
2024-11-01,IQ,Practical Guidance,feminine,0.397
2024-11-01,IQ,Practical Guidance,masculine,0.603
2024-11-01,IQ,Writing,feminine,0.436
2024-11-01,IQ,Writing,masculine,0.564
2024-11-01,IT,Multimedia,feminine,0.422
2024-11-01,IT,Multimedia,masculine,0.578
2024-11-01,IT,Other/Unknown,feminine,0.529
2024-11-01,IT,Other/Unknown,masculine,0.471
2024-11-01,IT,Practical Guidance,feminine,0.548
2024-11-01,IT,Practical Guidance,masculine,0.452
2024-11-01,IT,Seeking information,feminine,0.452
2024-11-01,IT,Seeking information,masculine,0.548
2024-11-01,IT,Self-expression,feminine,0.650
2024-11-01,IT,Self-expression,masculine,0.350
2024-11-01,IT,Technical help,feminine,0.331
2024-11-01,IT,Technical help,masculine,0.669
2024-11-01,IT,Writing,feminine,0.573
2024-11-01,IT,Writing,masculine,0.427
2024-11-01,JO,Practical Guidance,feminine,0.423
2024-11-01,JO,Practical Guidance,masculine,0.577
2024-11-01,JO,Writing,feminine,0.437
2024-11-01,JO,Writing,masculine,0.563
2024-11-01,JP,Practical Guidance,feminine,0.296
2024-11-01,JP,Practical Guidance,masculine,0.704
2024-11-01,JP,Seeking information,feminine,0.296
2024-11-01,JP,Seeking information,masculine,0.704
2024-11-01,JP,Technical help,feminine,0.269
2024-11-01,JP,Technical help,masculine,0.731
2024-11-01,JP,Writing,feminine,0.372
2024-11-01,JP,Writing,masculine,0.628
2024-11-01,KE,Practical Guidance,feminine,0.468
2024-11-01,KE,Practical Guidance,masculine,0.532
2024-11-01,KE,Seeking information,feminine,0.419
2024-11-01,KE,Seeking information,masculine,0.581
2024-11-01,KE,Writing,feminine,0.428
2024-11-01,KE,Writing,masculine,0.572
2024-11-01,KR,Practical Guidance,feminine,0.489
2024-11-01,KR,Practical Guidance,masculine,0.511
2024-11-01,KR,Seeking information,feminine,0.491
2024-11-01,KR,Seeking information,masculine,0.509
2024-11-01,KR,Technical help,feminine,0.373
2024-11-01,KR,Technical help,masculine,0.627
2024-11-01,KR,Writing,feminine,0.496
2024-11-01,KR,Writing,masculine,0.504
2024-11-01,KZ,Practical Guidance,feminine,0.480
2024-11-01,KZ,Practical Guidance,masculine,0.520
2024-11-01,KZ,Seeking information,feminine,0.391
2024-11-01,KZ,Seeking information,masculine,0.609
2024-11-01,KZ,Technical help,feminine,0.408
2024-11-01,KZ,Technical help,masculine,0.592
2024-11-01,KZ,Writing,feminine,0.488
2024-11-01,KZ,Writing,masculine,0.512
2024-11-01,LB,Practical Guidance,feminine,0.556
2024-11-01,LB,Practical Guidance,masculine,0.444
2024-11-01,LK,Writing,feminine,0.509
2024-11-01,LK,Writing,masculine,0.491
2024-11-01,LT,Practical Guidance,feminine,0.486
2024-11-01,LT,Practical Guidance,masculine,0.514
2024-11-01,LT,Writing,feminine,0.557
2024-11-01,LT,Writing,masculine,0.443
2024-11-01,MA,Other/Unknown,feminine,0.404
2024-11-01,MA,Other/Unknown,masculine,0.596
2024-11-01,MA,Practical Guidance,feminine,0.529
2024-11-01,MA,Practical Guidance,masculine,0.471
2024-11-01,MA,Seeking information,feminine,0.473
2024-11-01,MA,Seeking information,masculine,0.527
2024-11-01,MA,Self-expression,feminine,0.456
2024-11-01,MA,Self-expression,masculine,0.544
2024-11-01,MA,Technical help,feminine,0.399
2024-11-01,MA,Technical help,masculine,0.601
2024-11-01,MA,Writing,feminine,0.565
2024-11-01,MA,Writing,masculine,0.435
2024-11-01,MD,Writing,feminine,0.657
2024-11-01,MD,Writing,masculine,0.343
2024-11-01,MX,Multimedia,feminine,0.449
2024-11-01,MX,Multimedia,masculine,0.551
2024-11-01,MX,Other/Unknown,feminine,0.420
2024-11-01,MX,Other/Unknown,masculine,0.580
2024-11-01,MX,Practical Guidance,feminine,0.485
2024-11-01,MX,Practical Guidance,masculine,0.515
2024-11-01,MX,Seeking information,feminine,0.434
2024-11-01,MX,Seeking information,masculine,0.566
2024-11-01,MX,Self-expression,feminine,0.480
2024-11-01,MX,Self-expression,masculine,0.520
2024-11-01,MX,Technical help,feminine,0.361
2024-11-01,MX,Technical help,masculine,0.639
2024-11-01,MX,Writing,feminine,0.518
2024-11-01,MX,Writing,masculine,0.482
2024-11-01,MY,Practical Guidance,feminine,0.521
2024-11-01,MY,Practical Guidance,masculine,0.479
2024-11-01,MY,Seeking information,feminine,0.447
2024-11-01,MY,Seeking information,masculine,0.553
2024-11-01,MY,Technical help,feminine,0.319
2024-11-01,MY,Technical help,masculine,0.681
2024-11-01,MY,Writing,feminine,0.540
2024-11-01,MY,Writing,masculine,0.460
2024-11-01,NG,Practical Guidance,feminine,0.412
2024-11-01,NG,Practical Guidance,masculine,0.588
2024-11-01,NG,Seeking information,feminine,0.346
2024-11-01,NG,Seeking information,masculine,0.654
2024-11-01,NG,Writing,feminine,0.359
2024-11-01,NG,Writing,masculine,0.641
2024-11-01,NL,Multimedia,feminine,0.324
2024-11-01,NL,Multimedia,masculine,0.676
2024-11-01,NL,Practical Guidance,feminine,0.430
2024-11-01,NL,Practical Guidance,masculine,0.570
2024-11-01,NL,Seeking information,feminine,0.397
2024-11-01,NL,Seeking information,masculine,0.603
2024-11-01,NL,Self-expression,feminine,0.499
2024-11-01,NL,Self-expression,masculine,0.501
2024-11-01,NL,Technical help,feminine,0.215
2024-11-01,NL,Technical help,masculine,0.785
2024-11-01,NL,Writing,feminine,0.482
2024-11-01,NL,Writing,masculine,0.518
2024-11-01,NO,Practical Guidance,feminine,0.393
2024-11-01,NO,Practical Guidance,masculine,0.607
2024-11-01,NO,Seeking information,feminine,0.330
2024-11-01,NO,Seeking information,masculine,0.670
2024-11-01,NO,Technical help,feminine,0.224
2024-11-01,NO,Technical help,masculine,0.776
2024-11-01,NO,Writing,feminine,0.527
2024-11-01,NO,Writing,masculine,0.473
2024-11-01,NP,Practical Guidance,feminine,0.380
2024-11-01,NP,Practical Guidance,masculine,0.620
2024-11-01,NP,Writing,feminine,0.479
2024-11-01,NP,Writing,masculine,0.521
2024-11-01,NZ,Writing,feminine,0.518
2024-11-01,NZ,Writing,masculine,0.482
2024-11-01,PE,Multimedia,feminine,0.296
2024-11-01,PE,Multimedia,masculine,0.704
2024-11-01,PE,Practical Guidance,feminine,0.498
2024-11-01,PE,Practical Guidance,masculine,0.502
2024-11-01,PE,Seeking information,feminine,0.457
2024-11-01,PE,Seeking information,masculine,0.543
2024-11-01,PE,Self-expression,feminine,0.557
2024-11-01,PE,Self-expression,masculine,0.443
2024-11-01,PE,Technical help,feminine,0.340
2024-11-01,PE,Technical help,masculine,0.660
2024-11-01,PE,Writing,feminine,0.554
2024-11-01,PE,Writing,masculine,0.446
2024-11-01,PH,Multimedia,feminine,0.583
2024-11-01,PH,Multimedia,masculine,0.417
2024-11-01,PH,Other/Unknown,feminine,0.513
2024-11-01,PH,Other/Unknown,masculine,0.487
2024-11-01,PH,Practical Guidance,feminine,0.559
2024-11-01,PH,Practical Guidance,masculine,0.441
2024-11-01,PH,Seeking information,feminine,0.508
2024-11-01,PH,Seeking information,masculine,0.492
2024-11-01,PH,Self-expression,feminine,0.632
2024-11-01,PH,Self-expression,masculine,0.368
2024-11-01,PH,Technical help,feminine,0.319
2024-11-01,PH,Technical help,masculine,0.681
2024-11-01,PH,Writing,feminine,0.606
2024-11-01,PH,Writing,masculine,0.394
2024-11-01,PK,Other/Unknown,feminine,0.277
2024-11-01,PK,Other/Unknown,masculine,0.723
2024-11-01,PK,Practical Guidance,feminine,0.396
2024-11-01,PK,Practical Guidance,masculine,0.604
2024-11-01,PK,Seeking information,feminine,0.340
2024-11-01,PK,Seeking information,masculine,0.660
2024-11-01,PK,Self-expression,feminine,0.359
2024-11-01,PK,Self-expression,masculine,0.641
2024-11-01,PK,Technical help,feminine,0.230
2024-11-01,PK,Technical help,masculine,0.770
2024-11-01,PK,Writing,feminine,0.368
2024-11-01,PK,Writing,masculine,0.632
2024-11-01,PL,Multimedia,feminine,0.386
2024-11-01,PL,Multimedia,masculine,0.614
2024-11-01,PL,Practical Guidance,feminine,0.477
2024-11-01,PL,Practical Guidance,masculine,0.523
